, where, what, value
122, GPU1.SA_05.CU_03, v_mul_count, 0.000000000000
123, GPU1.SA_06.CU_00, cu_inst_count, 0.000000000000
124, GPU1.SA_06.CU_00, cu_CPI, +Inf
125, GPU1.SA_06.CU_00, simd_inst_count, 0.000000000000
126, GPU1.SA_06.CU_00, simd_CPI, +Inf
127, GPU1.SA_06.CU_00, v_mul_count, 0.000000000000
128, GPU1.SA_06.CU_01, cu_inst_count, 0.000000000000
129, GPU1.SA_06.CU_01, cu_CPI, +Inf
130, GPU1.SA_06.CU_01, simd_inst_count, 0.000000000000
131, GPU1.SA_06.CU_01, simd_CPI, +Inf
132, GPU1.SA_06.CU_01, v_mul_count, 0.000000000000
133, GPU1.SA_06.CU_02, cu_inst_count, 0.000000000000
134, GPU1.SA_06.CU_02, cu_CPI, +Inf
135, GPU1.SA_06.CU_02, simd_inst_count, 0.000000000000
136, GPU1.SA_06.CU_02, simd_CPI, +Inf
137, GPU1.SA_06.CU_02, v_mul_count, 0.000000000000
138, GPU1.SA_06.CU_03, cu_inst_count, 0.000000000000
139, GPU1.SA_06.CU_03, cu_CPI, +Inf
140, GPU1.SA_06.CU_03, simd_inst_count, 0.000000000000
141, GPU1.SA_06.CU_03, simd_CPI, +Inf
142, GPU1.SA_06.CU_03, v_mul_count, 0.000000000000
143, GPU1.SA_07.CU_00, cu_inst_count, 0.000000000000
144, GPU1.SA_07.CU_00, cu_CPI, +Inf
145, GPU1.SA_07.CU_00, simd_inst_count, 0.000000000000
146, GPU1.SA_07.CU_00, simd_CPI, +Inf
147, GPU1.SA_07.CU_00, v_mul_count, 0.000000000000
148, GPU1.SA_07.CU_01, cu_inst_count, 0.000000000000
149, GPU1.SA_07.CU_01, cu_CPI, +Inf
150, GPU1.SA_07.CU_01, simd_inst_count, 0.000000000000
151, GPU1.SA_07.CU_01, simd_CPI, +Inf
152, GPU1.SA_07.CU_01, v_mul_count, 0.000000000000
153, GPU1.SA_07.CU_02, cu_inst_count, 0.000000000000
154, GPU1.SA_07.CU_02, cu_CPI, +Inf
155, GPU1.SA_07.CU_02, simd_inst_count, 0.000000000000
156, GPU1.SA_07.CU_02, simd_CPI, +Inf
157, GPU1.SA_07.CU_02, v_mul_count, 0.000000000000
158, GPU1.SA_07.CU_03, cu_inst_count, 0.000000000000
159, GPU1.SA_07.CU_03, cu_CPI, +Inf
160, GPU1.SA_07.CU_03, simd_inst_count, 0.000000000000
161, GPU1.SA_07.CU_03, simd_CPI, +Inf
162, GPU1.SA_07.CU_03, v_mul_count, 0.000000000000
163, GPU1.SA_08.CU_00, cu_inst_count, 0.000000000000
164, GPU1.SA_08.CU_00, cu_CPI, +Inf
165, GPU1.SA_08.CU_00, simd_inst_count, 0.000000000000
166, GPU1.SA_08.CU_00, simd_CPI, +Inf
167, GPU1.SA_08.CU_00, v_mul_count, 0.000000000000
168, GPU1.SA_08.CU_01, cu_inst_count, 0.000000000000
169, GPU1.SA_08.CU_01, cu_CPI, +Inf
170, GPU1.SA_08.CU_01, simd_inst_count, 0.000000000000
171, GPU1.SA_08.CU_01, simd_CPI, +Inf
172, GPU1.SA_08.CU_01, v_mul_count, 0.000000000000
173, GPU1.SA_08.CU_02, cu_inst_count, 0.000000000000
174, GPU1.SA_08.CU_02, cu_CPI, +Inf
175, GPU1.SA_08.CU_02, simd_inst_count, 0.000000000000
176, GPU1.SA_08.CU_02, simd_CPI, +Inf
177, GPU1.SA_08.CU_02, v_mul_count, 0.000000000000
178, GPU1.SA_08.CU_03, cu_inst_count, 0.000000000000
179, GPU1.SA_08.CU_03, cu_CPI, +Inf
180, GPU1.SA_08.CU_03, simd_inst_count, 0.000000000000
181, GPU1.SA_08.CU_03, simd_CPI, +Inf
182, GPU1.SA_08.CU_03, v_mul_count, 0.000000000000
183, GPU1.SA_09.CU_00, cu_inst_count, 0.000000000000
184, GPU1.SA_09.CU_00, cu_CPI, +Inf
185, GPU1.SA_09.CU_00, simd_inst_count, 0.000000000000
186, GPU1.SA_09.CU_00, simd_CPI, +Inf
187, GPU1.SA_09.CU_00, v_mul_count, 0.000000000000
188, GPU1.SA_09.CU_01, cu_inst_count, 0.000000000000
189, GPU1.SA_09.CU_01, cu_CPI, +Inf
190, GPU1.SA_09.CU_01, simd_inst_count, 0.000000000000
191, GPU1.SA_09.CU_01, simd_CPI, +Inf
192, GPU1.SA_09.CU_01, v_mul_count, 0.000000000000
193, GPU1.SA_09.CU_02, cu_inst_count, 0.000000000000
194, GPU1.SA_09.CU_02, cu_CPI, +Inf
195, GPU1.SA_09.CU_02, simd_inst_count, 0.000000000000
196, GPU1.SA_09.CU_02, simd_CPI, +Inf
197, GPU1.SA_09.CU_02, v_mul_count, 0.000000000000
198, GPU1.SA_09.CU_03, cu_inst_count, 0.000000000000
199, GPU1.SA_09.CU_03, cu_CPI, +Inf
200, GPU1.SA_09.CU_03, simd_inst_count, 0.000000000000
201, GPU1.SA_09.CU_03, simd_CPI, +Inf
202, GPU1.SA_09.CU_03, v_mul_count, 0.000000000000
203, GPU1.SA_10.CU_00, cu_inst_count, 0.000000000000
204, GPU1.SA_10.CU_00, cu_CPI, +Inf
205, GPU1.SA_10.CU_00, simd_inst_count, 0.000000000000
206, GPU1.SA_10.CU_00, simd_CPI, +Inf
207, GPU1.SA_10.CU_00, v_mul_count, 0.000000000000
208, GPU1.SA_10.CU_01, cu_inst_count, 0.000000000000
209, GPU1.SA_10.CU_01, cu_CPI, +Inf
210, GPU1.SA_10.CU_01, simd_inst_count, 0.000000000000
211, GPU1.SA_10.CU_01, simd_CPI, +Inf
212, GPU1.SA_10.CU_01, v_mul_count, 0.000000000000
213, GPU1.SA_10.CU_02, cu_inst_count, 0.000000000000
214, GPU1.SA_10.CU_02, cu_CPI, +Inf
215, GPU1.SA_10.CU_02, simd_inst_count, 0.000000000000
216, GPU1.SA_10.CU_02, simd_CPI, +Inf
217, GPU1.SA_10.CU_02, v_mul_count, 0.000000000000
218, GPU1.SA_10.CU_03, cu_inst_count, 0.000000000000
219, GPU1.SA_10.CU_03, cu_CPI, +Inf
220, GPU1.SA_10.CU_03, simd_inst_count, 0.000000000000
221, GPU1.SA_10.CU_03, simd_CPI, +Inf
222, GPU1.SA_10.CU_03, v_mul_count, 0.000000000000
223, GPU1.SA_11.CU_00, cu_inst_count, 0.000000000000
224, GPU1.SA_11.CU_00, cu_CPI, +Inf
225, GPU1.SA_11.CU_00, simd_inst_count, 0.000000000000
226, GPU1.SA_11.CU_00, simd_CPI, +Inf
227, GPU1.SA_11.CU_00, v_mul_count, 0.000000000000
228, GPU1.SA_11.CU_01, cu_inst_count, 0.000000000000
229, GPU1.SA_11.CU_01, cu_CPI, +Inf
230, GPU1.SA_11.CU_01, simd_inst_count, 0.000000000000
231, GPU1.SA_11.CU_01, simd_CPI, +Inf
232, GPU1.SA_11.CU_01, v_mul_count, 0.000000000000
233, GPU1.SA_11.CU_02, cu_inst_count, 0.000000000000
234, GPU1.SA_11.CU_02, cu_CPI, +Inf
235, GPU1.SA_11.CU_02, simd_inst_count, 0.000000000000
236, GPU1.SA_11.CU_02, simd_CPI, +Inf
237, GPU1.SA_11.CU_02, v_mul_count, 0.000000000000
238, GPU1.SA_11.CU_03, cu_inst_count, 0.000000000000
239, GPU1.SA_11.CU_03, cu_CPI, +Inf
240, GPU1.SA_11.CU_03, simd_inst_count, 0.000000000000
241, GPU1.SA_11.CU_03, simd_CPI, +Inf
242, GPU1.SA_11.CU_03, v_mul_count, 0.000000000000
243, GPU1.SA_12.CU_00, cu_inst_count, 0.000000000000
244, GPU1.SA_12.CU_00, cu_CPI, +Inf
245, GPU1.SA_12.CU_00, simd_inst_count, 0.000000000000
246, GPU1.SA_12.CU_00, simd_CPI, +Inf
247, GPU1.SA_12.CU_00, v_mul_count, 0.000000000000
248, GPU1.SA_12.CU_01, cu_inst_count, 0.000000000000
249, GPU1.SA_12.CU_01, cu_CPI, +Inf
250, GPU1.SA_12.CU_01, simd_inst_count, 0.000000000000
251, GPU1.SA_12.CU_01, simd_CPI, +Inf
252, GPU1.SA_12.CU_01, v_mul_count, 0.000000000000
253, GPU1.SA_12.CU_02, cu_inst_count, 0.000000000000
254, GPU1.SA_12.CU_02, cu_CPI, +Inf
255, GPU1.SA_12.CU_02, simd_inst_count, 0.000000000000
256, GPU1.SA_12.CU_02, simd_CPI, +Inf
257, GPU1.SA_12.CU_02, v_mul_count, 0.000000000000
258, GPU1.SA_12.CU_03, cu_inst_count, 0.000000000000
259, GPU1.SA_12.CU_03, cu_CPI, +Inf
260, GPU1.SA_12.CU_03, simd_inst_count, 0.000000000000
261, GPU1.SA_12.CU_03, simd_CPI, +Inf
262, GPU1.SA_12.CU_03, v_mul_count, 0.000000000000
263, GPU1.SA_13.CU_00, cu_inst_count, 0.000000000000
264, GPU1.SA_13.CU_00, cu_CPI, +Inf
265, GPU1.SA_13.CU_00, simd_inst_count, 0.000000000000
266, GPU1.SA_13.CU_00, simd_CPI, +Inf
267, GPU1.SA_13.CU_00, v_mul_count, 0.000000000000
268, GPU1.SA_13.CU_01, cu_inst_count, 0.000000000000
269, GPU1.SA_13.CU_01, cu_CPI, +Inf
270, GPU1.SA_13.CU_01, simd_inst_count, 0.000000000000
271, GPU1.SA_13.CU_01, simd_CPI, +Inf
272, GPU1.SA_13.CU_01, v_mul_count, 0.000000000000
273, GPU1.SA_13.CU_02, cu_inst_count, 0.000000000000
274, GPU1.SA_13.CU_02, cu_CPI, +Inf
275, GPU1.SA_13.CU_02, simd_inst_count, 0.000000000000
276, GPU1.SA_13.CU_02, simd_CPI, +Inf
277, GPU1.SA_13.CU_02, v_mul_count, 0.000000000000
278, GPU1.SA_13.CU_03, cu_inst_count, 0.000000000000
279, GPU1.SA_13.CU_03, cu_CPI, +Inf
280, GPU1.SA_13.CU_03, simd_inst_count, 0.000000000000
281, GPU1.SA_13.CU_03, simd_CPI, +Inf
282, GPU1.SA_13.CU_03, v_mul_count, 0.000000000000
283, GPU1.SA_14.CU_00, cu_inst_count, 0.000000000000
284, GPU1.SA_14.CU_00, cu_CPI, +Inf
285, GPU1.SA_14.CU_00, simd_inst_count, 0.000000000000
286, GPU1.SA_14.CU_00, simd_CPI, +Inf
287, GPU1.SA_14.CU_00, v_mul_count, 0.000000000000
288, GPU1.SA_14.CU_01, cu_inst_count, 0.000000000000
289, GPU1.SA_14.CU_01, cu_CPI, +Inf
290, GPU1.SA_14.CU_01, simd_inst_count, 0.000000000000
291, GPU1.SA_14.CU_01, simd_CPI, +Inf
292, GPU1.SA_14.CU_01, v_mul_count, 0.000000000000
293, GPU1.SA_14.CU_02, cu_inst_count, 0.000000000000
294, GPU1.SA_14.CU_02, cu_CPI, +Inf
295, GPU1.SA_14.CU_02, simd_inst_count, 0.000000000000
296, GPU1.SA_14.CU_02, simd_CPI, +Inf
297, GPU1.SA_14.CU_02, v_mul_count, 0.000000000000
298, GPU1.SA_14.CU_03, cu_inst_count, 0.000000000000
299, GPU1.SA_14.CU_03, cu_CPI, +Inf
300, GPU1.SA_14.CU_03, simd_inst_count, 0.000000000000
301, GPU1.SA_14.CU_03, simd_CPI, +Inf
302, GPU1.SA_14.CU_03, v_mul_count, 0.000000000000
303, GPU1.SA_15.CU_00, cu_inst_count, 0.000000000000
304, GPU1.SA_15.CU_00, cu_CPI, +Inf
305, GPU1.SA_15.CU_00, simd_inst_count, 0.000000000000
306, GPU1.SA_15.CU_00, simd_CPI, +Inf
307, GPU1.SA_15.CU_00, v_mul_count, 0.000000000000
308, GPU1.SA_15.CU_01, cu_inst_count, 0.000000000000
309, GPU1.SA_15.CU_01, cu_CPI, +Inf
310, GPU1.SA_15.CU_01, simd_inst_count, 0.000000000000
311, GPU1.SA_15.CU_01, simd_CPI, +Inf
312, GPU1.SA_15.CU_01, v_mul_count, 0.000000000000
313, GPU1.SA_15.CU_02, cu_inst_count, 0.000000000000
314, GPU1.SA_15.CU_02, cu_CPI, +Inf
315, GPU1.SA_15.CU_02, simd_inst_count, 0.000000000000
316, GPU1.SA_15.CU_02, simd_CPI, +Inf
317, GPU1.SA_15.CU_02, v_mul_count, 0.000000000000
318, GPU1.SA_15.CU_03, cu_inst_count, 0.000000000000
319, GPU1.SA_15.CU_03, cu_CPI, +Inf
320, GPU1.SA_15.CU_03, simd_inst_count, 0.000000000000
321, GPU1.SA_15.CU_03, simd_CPI, +Inf
322, GPU1.SA_15.CU_03, v_mul_count, 0.000000000000
323, GPU1.SA_00.CU_00, cu_rb_read_scalar, 457.000000000000
324, GPU1.SA_00.CU_00, cu_rb_write_scalar, 7.000000000000
325, GPU1.SA_00.CU_00, cu_rb_read_vectorial, 1728.000000000000
326, GPU1.SA_00.CU_00, cu_rb_write_vectorial, 960.000000000000
327, GPU1.SA_00.CU_01, cu_rb_read_scalar, 0.000000000000
328, GPU1.SA_00.CU_01, cu_rb_write_scalar, 0.000000000000
329, GPU1.SA_00.CU_01, cu_rb_read_vectorial, 0.000000000000
330, GPU1.SA_00.CU_01, cu_rb_write_vectorial, 0.000000000000
331, GPU1.SA_00.CU_02, cu_rb_read_scalar, 0.000000000000
332, GPU1.SA_00.CU_02, cu_rb_write_scalar, 0.000000000000
333, GPU1.SA_00.CU_02, cu_rb_read_vectorial, 0.000000000000
334, GPU1.SA_00.CU_02, cu_rb_write_vectorial, 0.000000000000
335, GPU1.SA_00.CU_03, cu_rb_read_scalar, 0.000000000000
336, GPU1.SA_00.CU_03, cu_rb_write_scalar, 0.000000000000
337, GPU1.SA_00.CU_03, cu_rb_read_vectorial, 0.000000000000
338, GPU1.SA_00.CU_03, cu_rb_write_vectorial, 0.000000000000
339, GPU1.SA_01.CU_00, cu_rb_read_scalar, 0.000000000000
340, GPU1.SA_01.CU_00, cu_rb_write_scalar, 0.000000000000
341, GPU1.SA_01.CU_00, cu_rb_read_vectorial, 0.000000000000
342, GPU1.SA_01.CU_00, cu_rb_write_vectorial, 0.000000000000
343, GPU1.SA_01.CU_01, cu_rb_read_scalar, 0.000000000000
344, GPU1.SA_01.CU_01, cu_rb_write_scalar, 0.000000000000
345, GPU1.SA_01.CU_01, cu_rb_read_vectorial, 0.000000000000
346, GPU1.SA_01.CU_01, cu_rb_write_vectorial, 0.000000000000
347, GPU1.SA_01.CU_02, cu_rb_read_scalar, 0.000000000000
348, GPU1.SA_01.CU_02, cu_rb_write_scalar, 0.000000000000
349, GPU1.SA_01.CU_02, cu_rb_read_vectorial, 0.000000000000
350, GPU1.SA_01.CU_02, cu_rb_write_vectorial, 0.000000000000
351, GPU1.SA_01.CU_03, cu_rb_read_scalar, 0.000000000000
352, GPU1.SA_01.CU_03, cu_rb_write_scalar, 0.000000000000
353, GPU1.SA_01.CU_03, cu_rb_read_vectorial, 0.000000000000
354, GPU1.SA_01.CU_03, cu_rb_write_vectorial, 0.000000000000
355, GPU1.SA_02.CU_00, cu_rb_read_scalar, 0.000000000000
356, GPU1.SA_02.CU_00, cu_rb_write_scalar, 0.000000000000
357, GPU1.SA_02.CU_00, cu_rb_read_vectorial, 0.000000000000
358, GPU1.SA_02.CU_00, cu_rb_write_vectorial, 0.000000000000
359, GPU1.SA_02.CU_01, cu_rb_read_scalar, 0.000000000000
360, GPU1.SA_02.CU_01, cu_rb_write_scalar, 0.000000000000
361, GPU1.SA_02.CU_01, cu_rb_read_vectorial, 0.000000000000
362, GPU1.SA_02.CU_01, cu_rb_write_vectorial, 0.000000000000
363, GPU1.SA_02.CU_02, cu_rb_read_scalar, 0.000000000000
364, GPU1.SA_02.CU_02, cu_rb_write_scalar, 0.000000000000
365, GPU1.SA_02.CU_02, cu_rb_read_vectorial, 0.000000000000
366, GPU1.SA_02.CU_02, cu_rb_write_vectorial, 0.000000000000
367, GPU1.SA_02.CU_03, cu_rb_read_scalar, 0.000000000000
368, GPU1.SA_02.CU_03, cu_rb_write_scalar, 0.000000000000
369, GPU1.SA_02.CU_03, cu_rb_read_vectorial, 0.000000000000
370, GPU1.SA_02.CU_03, cu_rb_write_vectorial, 0.000000000000
371, GPU1.SA_03.CU_00, cu_rb_read_scalar, 0.000000000000
372, GPU1.SA_03.CU_00, cu_rb_write_scalar, 0.000000000000
373, GPU1.SA_03.CU_00, cu_rb_read_vectorial, 0.000000000000
374, GPU1.SA_03.CU_00, cu_rb_write_vectorial, 0.000000000000
375, GPU1.SA_03.CU_01, cu_rb_read_scalar, 0.000000000000
376, GPU1.SA_03.CU_01, cu_rb_write_scalar, 0.000000000000
377, GPU1.SA_03.CU_01, cu_rb_read_vectorial, 0.000000000000
378, GPU1.SA_03.CU_01, cu_rb_write_vectorial, 0.000000000000
379, GPU1.SA_03.CU_02, cu_rb_read_scalar, 0.000000000000
380, GPU1.SA_03.CU_02, cu_rb_write_scalar, 0.000000000000
381, GPU1.SA_03.CU_02, cu_rb_read_vectorial, 0.000000000000
382, GPU1.SA_03.CU_02, cu_rb_write_vectorial, 0.000000000000
383, GPU1.SA_03.CU_03, cu_rb_read_scalar, 0.000000000000
384, GPU1.SA_03.CU_03, cu_rb_write_scalar, 0.000000000000
385, GPU1.SA_03.CU_03, cu_rb_read_vectorial, 0.000000000000
386, GPU1.SA_03.CU_03, cu_rb_write_vectorial, 0.000000000000
387, GPU1.SA_04.CU_00, cu_rb_read_scalar, 0.000000000000
388, GPU1.SA_04.CU_00, cu_rb_write_scalar, 0.000000000000
389, GPU1.SA_04.CU_00, cu_rb_read_vectorial, 0.000000000000
390, GPU1.SA_04.CU_00, cu_rb_write_vectorial, 0.000000000000
391, GPU1.SA_04.CU_01, cu_rb_read_scalar, 0.000000000000
392, GPU1.SA_04.CU_01, cu_rb_write_scalar, 0.000000000000
393, GPU1.SA_04.CU_01, cu_rb_read_vectorial, 0.000000000000
394, GPU1.SA_04.CU_01, cu_rb_write_vectorial, 0.000000000000
395, GPU1.SA_04.CU_02, cu_rb_read_scalar, 0.000000000000
396, GPU1.SA_04.CU_02, cu_rb_write_scalar, 0.000000000000
397, GPU1.SA_04.CU_02, cu_rb_read_vectorial, 0.000000000000
398, GPU1.SA_04.CU_02, cu_rb_write_vectorial, 0.000000000000
399, GPU1.SA_04.CU_03, cu_rb_read_scalar, 0.000000000000
400, GPU1.SA_04.CU_03, cu_rb_write_scalar, 0.000000000000
401, GPU1.SA_04.CU_03, cu_rb_read_vectorial, 0.000000000000
402, GPU1.SA_04.CU_03, cu_rb_write_vectorial, 0.000000000000
403, GPU1.SA_05.CU_00, cu_rb_read_scalar, 0.000000000000
404, GPU1.SA_05.CU_00, cu_rb_write_scalar, 0.000000000000
405, GPU1.SA_05.CU_00, cu_rb_read_vectorial, 0.000000000000
406, GPU1.SA_05.CU_00, cu_rb_write_vectorial, 0.000000000000
407, GPU1.SA_05.CU_01, cu_rb_read_scalar, 0.000000000000
408, GPU1.SA_05.CU_01, cu_rb_write_scalar, 0.000000000000
409, GPU1.SA_05.CU_01, cu_rb_read_vectorial, 0.000000000000
410, GPU1.SA_05.CU_01, cu_rb_write_vectorial, 0.000000000000
411, GPU1.SA_05.CU_02, cu_rb_read_scalar, 0.000000000000
412, GPU1.SA_05.CU_02, cu_rb_write_scalar, 0.000000000000
413, GPU1.SA_05.CU_02, cu_rb_read_vectorial, 0.000000000000
414, GPU1.SA_05.CU_02, cu_rb_write_vectorial, 0.000000000000
415, GPU1.SA_05.CU_03, cu_rb_read_scalar, 0.000000000000
416, GPU1.SA_05.CU_03, cu_rb_write_scalar, 0.000000000000
417, GPU1.SA_05.CU_03, cu_rb_read_vectorial, 0.000000000000
418, GPU1.SA_05.CU_03, cu_rb_write_vectorial, 0.000000000000
419, GPU1.SA_06.CU_00, cu_rb_read_scalar, 0.000000000000
420, GPU1.SA_06.CU_00, cu_rb_write_scalar, 0.000000000000
421, GPU1.SA_06.CU_00, cu_rb_read_vectorial, 0.000000000000
422, GPU1.SA_06.CU_00, cu_rb_write_vectorial, 0.000000000000
423, GPU1.SA_06.CU_01, cu_rb_read_scalar, 0.000000000000
424, GPU1.SA_06.CU_01, cu_rb_write_scalar, 0.000000000000
425, GPU1.SA_06.CU_01, cu_rb_read_vectorial, 0.000000000000
426, GPU1.SA_06.CU_01, cu_rb_write_vectorial, 0.000000000000
